variant,seed,recall_at_10,ndcg_at_10,forced_downstream_ndcg_at_10,downstream_retention,top10_jaccard,seed_elapsed_seconds
autoregressive,0,0.0156181017,0.0071471366,0.0071535306,1.1054692993,0.5837125173,5.2443816662
autoregressive,1,0.0182119198,0.0087106852,0.0082729962,1.0290640506,0.5690076356,5.2687928677
autoregressive,2,0.0158388522,0.0075636250,0.0067021265,0.9419984689,0.5735999931,5.3161702156
autoregressive,3,0.0169426054,0.0080604777,0.0075081256,0.9927232658,0.5681503317,5.3431043625
full_diffusion_3step,0,0.0156181017,0.0091132037,0.0093198605,1.0031388927,0.3327143477,5.5975663662
full_diffusion_3step,1,0.0172737315,0.0095902057,0.0090295291,0.9978598578,0.3972495213,5.6282372475
full_diffusion_3step,2,0.0132450331,0.0066152266,0.0065582097,0.9893209811,0.3464865560,5.4472703934
full_diffusion_3step,3,0.0153973512,0.0083047934,0.0078402786,0.9997837358,0.4091374979,5.3423416615
no_collaborative_tokens,0,0.0160044152,0.0079740072,0.0075173839,0.9898080202,0.2673804774,5.2273595333
no_collaborative_tokens,1,0.0168874171,0.0088368393,0.0093364585,0.9962153550,0.3108894385,5.3156282902
no_collaborative_tokens,2,0.0174944811,0.0079389131,0.0078172479,0.9914692154,0.2808392192,5.3470418453
no_collaborative_tokens,3,0.0136865340,0.0075070597,0.0077083893,0.9993973540,0.4011100153,5.3529164791
no_progressive_curriculum,0,0.0118101547,0.0062288190,0.0059856875,1.0012105659,0.6479632247,5.7831034660
no_progressive_curriculum,1,0.0152869755,0.0075376816,0.0072107227,0.9987416491,0.4225330659,5.7869122028
no_progressive_curriculum,2,0.0185982343,0.0095472066,0.0103033762,1.0054857819,0.3493301255,5.2684421539
no_progressive_curriculum,3,0.0203642379,0.0106614437,0.0100469626,0.9935585383,0.4132660663,5.3529052734
no_stability_voting,0,0.0154525386,0.0089708529,0.0092531499,1.0011637509,0.3309805515,5.3191077709
no_stability_voting,1,0.0172185432,0.0095705520,0.0089944713,0.9974100515,0.3965581565,5.2816133499
no_stability_voting,2,0.0131346574,0.0065464699,0.0065782252,1.0037092099,0.3530579181,5.4247195721
no_stability_voting,3,0.0151766008,0.0082418341,0.0077929208,1.0032035648,0.4085576394,5.4312288761
one_step_diffusion,0,0.0328366458,0.0163448341,0.0155630857,1.0000000000,0.5293315040,5.2516560555
one_step_diffusion,1,0.0346026495,0.0176231191,0.0165014286,1.0000000000,0.5591600121,5.2361288071
one_step_diffusion,2,0.0246136859,0.0112403017,0.0106048146,1.0000000000,0.5683574971,5.3045523167
one_step_diffusion,3,0.0339403972,0.0159281921,0.0153493704,1.0000000000,0.4881773597,5.2832806110
five_step_diffusion,0,0.0161147900,0.0092132017,0.0092690978,0.9887759243,0.3242120577,5.5508115292
five_step_diffusion,1,0.0176600441,0.0097925495,0.0092100482,0.9880046305,0.3875500149,5.4151237011
five_step_diffusion,2,0.0130242826,0.0065181209,0.0064869295,0.9962617768,0.3494509647,5.4607360363
five_step_diffusion,3,0.0152869755,0.0082712155,0.0078427605,1.0037965253,0.4102974066,5.3765125275
plain_diffusion,0,0.0154525386,0.0068718540,0.0069573480,1.0069893086,0.7669096785,5.2858343124
plain_diffusion,1,0.0133002205,0.0063860249,0.0066885874,1.0017293595,0.6493565128,5.2953567505
plain_diffusion,2,0.0225165561,0.0119955186,0.0121539123,0.9985329020,0.4105465189,5.2337446213
plain_diffusion,3,0.0173841063,0.0089082699,0.0090100700,1.0072601524,0.4123118583,5.2063252926
